id,name,url,slug,twitterUsername,isLive,createdAt,updatedAt
UCdf-S0nPIeQXNXl1NESA4JA,"UX Podcast",https://www.youtube.com/channel/UCdf-S0nPIeQXNXl1NESA4JA,@uxpodcast,,true,2025-07-27T10:02:34.765Z,2025-07-27T10:02:34.765Z
UCVpujfeZKkEWsG6OFpDYD5g,"Steve Portigal",https://www.youtube.com/channel/UCVpujfeZKkEWsG6OFpDYD5g,@steveportigal,,true,2025-07-27T10:08:31.192Z,2025-07-27T10:08:31.192Z
UCXZCJLdBC09xxGZ6gcdrc6A,"OpenAI",https://www.youtube.com/channel/UCXZCJLdBC09xxGZ6gcdrc6A,@openai,,true,2025-04-22T11:51:05.125Z,2025-04-22T11:51:05.125Z
UCX7Y2qWriXpqocG97SFW2OQ,"Jeremy Howard",https://www.youtube.com/channel/UCX7Y2qWriXpqocG97SFW2OQ,@howardjeremyp,,true,2025-04-19T07:35:29.254Z,2025-04-19T07:35:29.254Z
UCrDwWp7EBBv4NwvScIpBDOA,"Anthropic",https://www.youtube.com/channel/UCrDwWp7EBBv4NwvScIpBDOA,@anthropic-ai,,true,2025-04-22T11:53:43.841Z,2025-04-22T11:53:43.841Z
UCwhB8cJTSLxyubnKSS-PLJg,"MegaLag",https://www.youtube.com/channel/UCwhB8cJTSLxyubnKSS-PLJg,@megalag,,true,2025-04-25T11:48:50.503Z,2025-04-25T11:48:50.503Z
UCafjal1QYJ3rb0Y9xZk1Ezg,"80,000 Hours",https://www.youtube.com/channel/UCafjal1QYJ3rb0Y9xZk1Ezg,@eightythousandhours,,true,2025-07-17T21:00:10.127Z,2025-07-17T21:00:10.127Z
UCjw0PV30AxyJMYoXBBu8obg,"Hash Rate pod - Bitcoin, AI, DePIN, DeFi ",https://www.youtube.com/channel/UCjw0PV30AxyJMYoXBBu8obg,@markjeffrey,,true,2025-05-07T00:46:07.142Z,2025-05-07T00:46:07.142Z
UCkkhmBWfS7pILYIk0izkc3A,"This Week in Startups",https://www.youtube.com/channel/UCkkhmBWfS7pILYIk0izkc3A,@startups,,true,2025-04-30T08:24:43.315Z,2025-04-30T08:24:43.315Z
UC9AHywQeW9BOcOl7dg-YMqA,"Stratechery",https://www.youtube.com/channel/UC9AHywQeW9BOcOl7dg-YMqA,@stratechery,,true,2025-04-23T20:29:15.659Z,2025-04-23T20:29:15.659Z
UCdsj4kd72a6ggeJdWuihCNw,"DCsan",https://www.youtube.com/channel/UCdsj4kd72a6ggeJdWuihCNw,@dc-it4wr,,true,2025-05-12T06:28:44.448Z,2025-05-12T06:28:44.448Z
UCxeuf9Ajicr5KRcKYytXAug,"AI Tinkerers",https://www.youtube.com/channel/UCxeuf9Ajicr5KRcKYytXAug,@aitinkerers,,true,2025-06-04T14:53:25.619Z,2025-06-04T14:53:25.619Z
UCWrF0oN6unbXrWsTN7RctTw,"Sequoia Capital",https://www.youtube.com/channel/UCWrF0oN6unbXrWsTN7RctTw,@sequoiacapital,,true,2025-04-23T21:13:13.573Z,2025-04-23T21:13:13.573Z
UCi9xsKawbbi1okOPNXSRlCQ,"Agent State",https://www.youtube.com/channel/UCi9xsKawbbi1okOPNXSRlCQ,@agentstatepodcast,,true,2025-04-23T21:28:14.867Z,2025-04-23T21:28:14.867Z
UCfAxlqJfB6AwqFtbmxPUELQ,"Supra Insider",https://www.youtube.com/channel/UCfAxlqJfB6AwqFtbmxPUELQ,@suprainsider,,true,2025-05-28T14:27:20.525Z,2025-05-28T14:27:20.525Z
UCMLtBahI5DMrt0NPvDSoIRQ,"Machine Learning Street Talk",https://www.youtube.com/channel/UCMLtBahI5DMrt0NPvDSoIRQ,@machinelearningstreettalk,,true,2025-06-03T16:02:52.913Z,2025-06-03T16:02:52.913Z
UC6EtRcBsumcXBElhGNW_DiQ,"GameCraft Podcast",https://www.youtube.com/channel/UC6EtRcBsumcXBElhGNW_DiQ,@gamecraftpodcast2024,,true,2025-05-04T03:51:33.179Z,2025-05-04T03:51:33.179Z
UCQY4m17jrV1JcBA1GDR2z4w,"Heartfelt Conversations",https://www.youtube.com/channel/UCQY4m17jrV1JcBA1GDR2z4w,@heartfeltconversations,,true,2025-05-11T00:41:01.415Z,2025-05-11T00:41:01.415Z
UC4R8l8J5eDbNjhq0HeV040w,"The Room Podcast",https://www.youtube.com/channel/UC4R8l8J5eDbNjhq0HeV040w,@theroompod,,true,2025-06-03T15:55:33.269Z,2025-06-03T15:55:33.269Z
UCp-aroxb6hOKPQGyGp0c3Dw,"a16z speedrun",https://www.youtube.com/channel/UCp-aroxb6hOKPQGyGp0c3Dw,@a16zspeedrun,,true,2025-04-21T22:40:33.924Z,2025-04-21T22:40:33.924Z
UCyFqFYfTW2VoIQKylJ04Rtw,"Acquired",https://www.youtube.com/channel/UCyFqFYfTW2VoIQKylJ04Rtw,@acquiredfm,,true,2025-04-21T03:18:45.350Z,2025-04-21T03:18:45.350Z
UCjIMtrzxYc0lblGhmOgC_CA,"Every",https://www.youtube.com/channel/UCjIMtrzxYc0lblGhmOgC_CA,@everyinc,,true,2025-06-03T15:41:17.128Z,2025-06-03T15:41:17.128Z
UCR3gRXRFzbKlkJIKlRvfrbA,"Game Economist Cast",https://www.youtube.com/channel/UCR3gRXRFzbKlkJIKlRvfrbA,@gameeconomistconsulting,,true,2025-04-24T20:08:07.290Z,2025-04-24T20:08:07.290Z
UCbJdp9rI3sDhVzKKZkWDZuw,"Deconstructor of Fun",https://www.youtube.com/channel/UCbJdp9rI3sDhVzKKZkWDZuw,@deconstructoroffun5677,,true,2025-04-24T20:12:47.558Z,2025-04-24T20:12:47.558Z
UCsHBhXybRz2CCfpU0hWp7ow,"Aakash Gupta",https://www.youtube.com/channel/UCsHBhXybRz2CCfpU0hWp7ow,@growproduct,,true,2025-05-11T19:35:52.251Z,2025-05-11T19:35:52.251Z
UC7vtDIfbxoOKgnIw-mO7fWA,"We're Jabbin': On UX research and design",https://www.youtube.com/channel/UC7vtDIfbxoOKgnIw-mO7fWA,@werejabbinonuxresearchandd7140,,true,2025-07-27T10:15:15.981Z,2025-07-27T10:15:15.981Z
UCvze3hU6OZBkB1vkhH2lH9Q,"Neo4j",https://www.youtube.com/channel/UCvze3hU6OZBkB1vkhH2lH9Q,@neo4j,,true,2025-06-20T20:32:54.605Z,2025-06-20T20:32:54.605Z
UCm3VdjDQjLnnDy5a3nXs68w,"FalkorDB",https://www.youtube.com/channel/UCm3VdjDQjLnnDy5a3nXs68w,@falkordb,,true,2025-06-20T20:34:47.741Z,2025-06-20T20:34:47.741Z
UC4x3CR25WSlvMJUtSPPzwwg,"Chris Raroque",https://www.youtube.com/channel/UC4x3CR25WSlvMJUtSPPzwwg,@raroque,,true,2025-06-22T17:47:47.390Z,2025-06-22T17:47:47.390Z
UCbRP3c757lWg9M-U7TyEkXA,"Theo - t3․gg",https://www.youtube.com/channel/UCbRP3c757lWg9M-U7TyEkXA,@t3dotgg,,true,2025-07-01T14:09:57.043Z,2025-07-01T14:09:57.043Z
UCMClgRAPUBAtuZgUaKW4-8w,"Palantir Vision",https://www.youtube.com/channel/UCMClgRAPUBAtuZgUaKW4-8w,@palantirvisionofficial,,true,2025-06-22T18:01:38.565Z,2025-06-22T18:01:38.565Z
UCm_WkN0wg49-eG4SymAQ_4g,"Harvard Innovation Labs",https://www.youtube.com/channel/UCm_WkN0wg49-eG4SymAQ_4g,@harvardilab,,true,2025-07-06T15:43:39.743Z,2025-07-06T15:43:39.743Z
UCTYQzAi6YOcgv2mkzsfzmpA,"Kendra's Language School",https://www.youtube.com/channel/UCTYQzAi6YOcgv2mkzsfzmpA,@kendraslanguage,,true,2025-07-07T21:49:21.376Z,2025-07-07T21:49:21.376Z
UCL5Ot-Oq0MLmZF3l2lIZvOA,"UC Berkeley School of Law",https://www.youtube.com/channel/UCL5Ot-Oq0MLmZF3l2lIZvOA,@ucberkeleyschooloflaw,,true,2025-07-09T17:29:51.933Z,2025-07-09T17:29:51.933Z
UCESLZhusAkFfsNsApnjF_Cg,"All-In Podcast",https://www.youtube.com/channel/UCESLZhusAkFfsNsApnjF_Cg,@allin,,true,2025-04-13T16:58:50.548Z,2025-04-13T16:58:50.548Z
UCJHb21YKQk1HdsVU7OFwG1A,"Good Game Podcast",https://www.youtube.com/@GoodGamePodcast,@goodgamepod,dcsan,true,1970-01-01T00:00:00.000Z,1970-01-01T00:00:00.000Z
UCHnyfMqiRRG1u-2MsSQLbXA,"Veritasium",https://www.youtube.com/channel/UCHnyfMqiRRG1u-2MsSQLbXA,@veritasium,,true,2025-02-26T23:33:25.866Z,2025-02-26T23:33:25.866Z
UCt9WqM6o0y5YGqQm1nffFWQ,"BoundaryML",https://www.youtube.com/channel/UCt9WqM6o0y5YGqQm1nffFWQ,@boundaryml,,true,2025-04-30T08:34:11.987Z,2025-04-30T08:34:11.987Z
UCXjf7anLJA4NqUv8kPFIJWA,"Freakonomics Radio Network",https://www.youtube.com/channel/UCXjf7anLJA4NqUv8kPFIJWA,@freakonomics,,true,2025-04-24T11:40:11.994Z,2025-04-24T11:40:11.994Z
UCiemDAS1bXMBTx3jIIOukFg,"Masters of Scale",https://www.youtube.com/channel/UCiemDAS1bXMBTx3jIIOukFg,@mastersofscale_,,true,2025-04-13T03:13:56.804Z,2025-04-13T03:13:56.804Z
UCRcgy6GzDeccI7dkbbBna3Q,"LEMMiNO",https://www.youtube.com/channel/UCRcgy6GzDeccI7dkbbBna3Q,@lemmino,,true,2025-02-26T23:34:36.290Z,2025-02-26T23:34:36.290Z
UCMR-rPSUI34DRQXUkvFuIUQ,"South Park Commons",https://www.youtube.com/channel/UCMR-rPSUI34DRQXUkvFuIUQ,@southparkcommons,,true,2025-07-02T07:17:31.680Z,2025-07-02T07:17:31.680Z
UCnCikd0s4i9KoDtaHPlK-JA,"Unsupervised Learning",https://www.youtube.com/channel/UCnCikd0s4i9KoDtaHPlK-JA,@unsupervised-learning,,true,2025-04-20T05:35:38.099Z,2025-04-20T05:35:38.099Z
UCMcoud_ZW7cfxeIugBflSBw,"Riley Brown",https://www.youtube.com/channel/UCMcoud_ZW7cfxeIugBflSBw,@rileybrownai,,true,2025-07-04T16:41:18.841Z,2025-07-04T16:41:18.841Z
UC7wq_6pmOiFNnCkvShNpoFw,"UXtweak",https://www.youtube.com/channel/UC7wq_6pmOiFNnCkvShNpoFw,@uxtweak,,true,2025-07-27T08:32:24.082Z,2025-07-27T08:32:24.082Z
UCMEL3IZanJyEmU9ycwnAGNA,"Very Good Ventures",https://www.youtube.com/channel/UCMEL3IZanJyEmU9ycwnAGNA,@vgventures,,true,2025-07-15T13:00:33.897Z,2025-07-15T13:00:33.897Z
UCelfWQr9sXVMTvBzviPGlFw,"AI LABS",https://www.youtube.com/channel/UCelfWQr9sXVMTvBzviPGlFw,@ailabs-393,,true,2025-06-22T18:03:04.044Z,2025-06-22T18:03:04.044Z
UCRqBu-grVX1p97WaX4d-OuQ,"Cointelegraph",https://www.youtube.com/channel/UCRqBu-grVX1p97WaX4d-OuQ,@cointelegraph,,true,2025-06-15T00:38:45.136Z,2025-06-15T00:38:45.136Z
UCxyaBZgFV-T_3Cj02bC8O6w,"Practically Intelligent",https://www.youtube.com/channel/UCxyaBZgFV-T_3Cj02bC8O6w,@practicallyintelligent,,true,2025-06-05T17:09:18.966Z,2025-06-05T17:09:18.966Z
UCuFN3rWi-7Wj4Fv60jC_Byw,"Just Curious: AI for SMB Growth",https://www.youtube.com/channel/UCuFN3rWi-7Wj4Fv60jC_Byw,@justcuriousai,,true,2025-06-07T17:06:28.661Z,2025-06-07T17:06:28.661Z
UC0_Eoa7bNooD2w2FNQpVqog,"Naavik Gaming Podcast",https://www.youtube.com/channel/UC0_Eoa7bNooD2w2FNQpVqog,@naavik_co,,true,2025-02-26T23:34:43.964Z,2025-02-26T23:34:43.964Z
UCC7wmPT1SxevZdETxSO6m8A,"Rekt Radio",https://www.youtube.com/@RektRadio1,@rektradio1,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
UC2YKXCQ8wt1RFpQEELwILCQ,"SXSW",https://www.youtube.com/channel/UC2YKXCQ8wt1RFpQEELwILCQ,@sxsw,,true,2025-07-03T10:23:53.938Z,2025-07-03T10:23:53.938Z
UCk2U-Oqn7RXf-ydPqfSxG5g,"Mel Robbins",https://www.youtube.com/channel/UCk2U-Oqn7RXf-ydPqfSxG5g,@melrobbins,,true,2025-07-02T07:06:34.746Z,2025-07-02T07:06:34.746Z
UC0FGnRMPQsuz3RqPmWOK1bQ,"Beginner Maps",https://www.youtube.com/@beginnermaps,@beginnermaps,dcsan,true,2025-03-07T11:58:08.758Z,2025-03-07T11:58:08.758Z
